instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,0,variance,global,,-75.72472560378105,-75.68032538857084,0.3661671416047333,-75.71082072911699
0,0,variance,subsample,0.0,-75.72232198481616,-75.68032538857084,0.47138941287199754,-75.71262306002494
0,0,variance,subsample,1.0,-75.72232198481616,-75.68032538857084,0.5598917681923704,-75.7101037982781
0,0,variance,subsample,2.0,-75.72472560378105,-75.68032538857084,0.6709249202336887,-75.718376452047
0,0,variance,subsample,3.0,-75.72232198481616,-75.68032538857084,0.6319622085858719,-75.7204311621624
0,0,variance,subsample,4.0,-75.70985883914489,-75.69203029710116,-0.3994346633815652,-75.68989378729411
0,0,variance,subsample,5.0,-75.72472560378105,-75.69436029704306,-0.1054210331076432,-75.70300967078025
0,0,variance,subsample,6.0,-75.72232198481616,-75.68773771283301,-0.27333080815714556,-75.69615101022768
0,0,variance,subsample,7.0,-75.71968309929453,-75.69602840995046,-0.032899268007996085,-75.7060324955708
0,0,variance,subsample,8.0,-75.71968309929453,-75.68773771283301,0.3512490120496553,-75.70907759205895
0,0,variance,subsample,9.0,-75.72232198481616,-75.69436029704306,-0.24759094089586642,-75.7010014596729
0,0,variance,subsample,10.0,-75.72472560378105,-75.69436029704306,-0.07101685632500092,-75.70864697891191
0,0,variance,subsample,11.0,-75.72472560378105,-75.69203029710116,-0.12842825196064164,-75.70716976067682
0,0,variance,subsample,12.0,-75.71968309929453,-75.68032538857084,0.6851178087631051,-75.71654685338557
0,0,variance,subsample,13.0,-75.72472560378105,-75.68032538857084,0.7951256671475243,-75.71883497268674
0,0,variance,subsample,14.0,-75.72232198481616,-75.69319604031449,-0.47727414499232756,-75.69427314125082
0,0,variance,subsample,15.0,-75.71064033764262,-75.68032538857084,0.20766716978333347,-75.70493613114198
0,0,variance,subsample,16.0,-75.72232198481616,-75.69319604031449,-0.2603103065903071,-75.69844149229094
0,0,variance,subsample,17.0,-75.72232198481616,-75.69203029710116,-0.1471843197114429,-75.70215644928739
0,0,variance,subsample,18.0,-75.72472560378105,-75.69203029710116,0.1739055826716543,-75.70723362420787
0,0,variance,subsample,19.0,-75.72472560378105,-75.69319604031449,-0.06323436238686017,-75.7062720267002
