cRBM_SR_cata_200,cRBM_NQA_cata_200,RBQS_SR_cata_200,RBQS_NQA_cata_200
0.11308654756999002,0.33539579356464183,0.010324479722804864,1.0000038250217068e-10
0.10580057022659256,0.32799526018213676,0.007371894910485351,1.0000019050102167e-10
0.10779556793955278,0.37528851092636034,0.004729312729018349,0.00046667241664783354
0.07154955798370959,0.3343222750063003,0.004409081128148197,1e-10
0.08555204709876345,0.28595716822767225,0.00538879034713118,1.0000037763985496e-10
0.1165746144851808,0.33025936906299136,0.010469404900193744,0.014984191221142086
0.07176498684721093,0.2814147917603978,0.01287130257173928,0.00037793848109601044
0.08911636475485862,0.3272703786398505,0.009565700648728989,1e-10
0.09528052408604239,0.31967819672987324,0.008496442046861924,0.002477828023911099
0.12626691858736364,0.30001774848047474,0.021255246599725105,1.0000019493177558e-10
