,SK 100 Best,SK 100 Final,SK 200 Best,SK 200 Final
0,1e-10,1e-10,1.0000038250217068e-10,1.0000057375325602e-10
1,0.010990402281167974,0.010990402281167974,1.0000019050102167e-10,1.0000019050102167e-10
2,1.0000018936710957e-10,1.0000018936710957e-10,0.00046667241664783354,0.0004666724166474436
3,1.000001886778528e-10,1e-10,1.0000019067737352e-10,1.0000019067737352e-10
4,1.0000017850673942e-10,1.0000017850673942e-10,1.0000037763985496e-10,1.0000037763985496e-10
5,1e-10,1e-10,0.006516084554111651,0.008453998914490926
6,1e-10,1e-10,1e-10,1.0000019201333247e-10
7,1e-10,6.425293098380785e-05,1e-10,1.0000058302053145e-10
8,1e-10,0.0001270361972812349,1e-10,1.0000038379439568e-10
9,1e-10,0.00026633356921125295,1.0000019493177558e-10,1.0000038986355116e-10
