instance,band,scaling,mean_intercept,std_intercept,mean_slope,std_slope
0,0,variance,-75.70820451426805,0.007608322681083339,0.22723592044334884,0.3618924521209721
0,0,inverse_num_params,-75.69199857690815,0.01315195939001622,-262.67058564348275,322.70448870367676
0,1,variance,-72.66316073035505,0.005652262536620505,-0.058955699466121246,0.2533196627898821
0,1,inverse_num_params,-72.66548858039349,0.006923304689210989,22.06000786710769,161.3000323646404
1,0,variance,-71.64539589030474,0.004809643442132788,0.5090688534178087,0.2181710345897227
1,0,inverse_num_params,-71.63020006989126,0.007019250251659671,-132.3443152825241,198.06459180299458
2,0,variance,-75.02494863453425,0.007323040661661949,-0.47767616952379777,0.2961797496319272
2,0,inverse_num_params,-75.02117589200196,0.017111403674750433,-428.31939505404523,497.0792659967587
2,1,variance,-74.84854058564984,0.008784933409350078,-0.5806798048568965,0.259396770222426
2,1,inverse_num_params,-74.88587482757758,0.016111255209426096,590.9465933770639,488.52163086493425
3,0,variance,-75.86453909615174,0.005973599761585497,0.20380239344132065,0.1895376641885636
3,0,inverse_num_params,-75.85574902416926,0.009285600084649804,-31.19751169813724,117.62734702864927
4,0,variance,-80.02688053517153,0.0012000581396810572,0.1378056726999656,0.06951426011801681
4,0,inverse_num_params,-80.02563864000032,0.003082027348149276,22.580744099180375,54.120346971352554
5,0,variance,-73.57940624207073,0.007954965861940234,0.04740427836813582,0.24142111013060244
5,0,inverse_num_params,-73.57488560542313,0.00904842834188021,-68.83686021766606,206.25627302506345
6,0,variance,-75.16291481804875,0.002628856739599957,0.13333130133024396,0.14309878410706608
6,0,inverse_num_params,-75.15819285868652,0.00405055964534598,-32.39337031808209,52.99129572617252
6,1,variance,-72.66458507554235,0.0188694302968977,0.15668326871961627,0.6681243188634768
6,1,inverse_num_params,-72.6580115841095,0.012632652736214084,-48.695981388938456,296.11165670642475
6,2,variance,-72.61888173018342,0.011447738436519929,0.5424424708467706,0.4330998903905803
6,2,inverse_num_params,-72.59891282746231,0.017799803312771097,-71.83831410650549,335.79416373169096
7,0,variance,-73.39267150720194,0.015876498792438916,0.34044091945207156,0.7670360555909956
7,0,inverse_num_params,-73.38222913845047,0.012533493554104299,-90.11133442088902,206.2012662004182
7,1,variance,-70.0914180381038,0.008309838607391188,-0.17573959505096265,0.2675709112924293
7,1,inverse_num_params,-70.10632964579847,0.006902214693959558,139.57089830262925,92.52869195282081
8,0,variance,-72.45728584173413,0.004165749883737362,0.1884660283978138,0.14290878692470443
8,0,inverse_num_params,-72.44282266840085,0.004228879171355142,-145.3918028505922,68.22159060092415
8,1,variance,-70.86831589897051,0.005113082356652369,0.4451672775225286,0.18505523187253073
8,1,inverse_num_params,-70.86288102311055,0.008033821801278243,74.5742933628194,138.62264218735473
9,0,variance,-73.40786777459871,0.005396976176789157,0.21371146113469724,0.18081075957227527
9,0,inverse_num_params,-73.39550986757972,0.008446436360488627,-153.80727419548776,223.0559963719478
9,1,variance,-73.03301188389989,0.007862966096365966,0.13461693458569568,0.26363750208135894
9,1,inverse_num_params,-73.01934560693611,0.032058499252797544,-236.47992779302834,779.5013625360799
