cRBM_SR_100,cRBM_NQA_100,RBQS_SR_100,RBQS_NQA_100,cRBM_SR_200,cRBM_NQA_200,RBQS_SR_200,RBQS_NQA_200
0.09793420843772675,1.0000018896957569e-10,0.010918153349190952,1e-10,0.1399481433841715,0.15178024545242497,0.0015845112136697636,1.0000038250217068e-10
0.06796957247733047,1e-10,0.01394012514508923,0.010990402281167974,0.12273621818682558,0.1588124552148734,0.025269192727437547,0.01800504535116044
0.06770219692885834,1.0000018936710957e-10,0.0065852513285692416,1.0000018936710957e-10,0.12509839081766544,0.17795554234849942,0.0023051187715498723,0.00046667241664783354
0.06961913852179703,1.000001886778528e-10,1e-10,1.000001886778528e-10,0.1316166080508909,0.17567227071164196,0.018641030579073906,1.0000019067737352e-10
0.09938272180729184,1e-10,1.0000017850673942e-10,1.0000017850673942e-10,0.15440577797414645,0.1680145427252556,0.014982073550070392,0.0009046920346985819
0.008621897334126742,1.0000019463277546e-10,0.008250915417843747,1e-10,0.13670125467028446,0.1796881166060584,0.014197992208130499,0.013446736173008352
0.07597400746779073,1e-10,1e-10,1e-10,0.1454416119308089,0.1730596021157815,0.016200966906856108,0.0023118989102414757
0.07032261646405065,1e-10,0.0059766731630898125,1e-10,0.10556768527530962,0.1723678748744326,0.04973379030301588,1e-10
0.06939006446098306,1e-10,0.010111380976246368,1e-10,0.12623142082549058,0.12061179089794258,0.024876936062794494,0.0024778280239109067
0.09173511282127711,1e-10,0.006172965131172401,1e-10,0.1780039804198908,0.18576392208776224,0.02983617117054371,1.0000019493177558e-10
