Instance,Energy,Energy Variance
2.000000000000000000e+00,-1.984785182455133778e+01,4.135106912917456412e-02
2.000000000000000000e+00,-1.985004213275603036e+01,2.519631075077399113e-02
2.000000000000000000e+00,-1.984308163519110479e+01,6.367487896777816736e-02
2.000000000000000000e+00,-1.984766508488550230e+01,4.021298940764821139e-02
2.000000000000000000e+00,-1.985269725472400637e+01,2.066020136432402884e-02
2.000000000000000000e+00,-1.725593041632411584e+01,1.849430877705125070e-02
2.000000000000000000e+00,-1.985475476261145289e+01,6.517515116036586356e-03
2.000000000000000000e+00,-1.984918424138483317e+01,3.419099656748489369e-02
2.000000000000000000e+00,-1.927856913575840991e+01,9.203290929359661532e-02
2.000000000000000000e+00,-1.984241954409607089e+01,7.307002231294942862e-02
2.000000000000000000e+00,-1.984157241084457013e+01,6.225278587815979287e-02
2.000000000000000000e+00,-1.985560299375752180e+01,3.349533737265450103e-03
2.000000000000000000e+00,-1.984674996477926356e+01,5.107943461577089950e-02
2.000000000000000000e+00,-1.985232158459055896e+01,4.730421940219755456e-02
2.000000000000000000e+00,-1.984513814851607805e+01,6.565571900733266353e-02
2.000000000000000000e+00,-1.984976235303733816e+01,3.534717129374585765e-02
2.000000000000000000e+00,-1.984596526361560365e+01,4.640888700145226475e-02
2.000000000000000000e+00,-1.985347281483560522e+01,1.611292753148430706e-02
2.000000000000000000e+00,-1.985489119270406633e+01,8.525519223696232177e-03
2.000000000000000000e+00,-1.984427361528425138e+01,5.291890157693945884e-02
2.000000000000000000e+00,-1.985240967964271164e+01,2.408346311097451370e-02
2.000000000000000000e+00,-1.985342597605904302e+01,1.626000723198719675e-02
2.000000000000000000e+00,-1.984560331312549764e+01,5.853339939836038619e-02
2.000000000000000000e+00,-1.984610848324665966e+01,4.754395577272243351e-02
2.000000000000000000e+00,-1.985105697039274730e+01,2.878210818777421354e-02
2.000000000000000000e+00,-1.983867746830628676e+01,2.876442749027927417e-02
2.000000000000000000e+00,-1.926919280411927105e+01,4.973677236995015238e-02
2.000000000000000000e+00,-1.983510535763648619e+01,3.087393714249354448e-04
2.000000000000000000e+00,-1.985350701936217277e+01,1.357404122764623716e-02
2.000000000000000000e+00,-1.985495984370975009e+01,6.677176114887265444e-03
2.000000000000000000e+00,-1.983018059160587043e+01,3.089759527709450351e-02
2.000000000000000000e+00,-1.985345171409001352e+01,1.550037819922990209e-02
2.000000000000000000e+00,-1.984502118504341439e+01,5.726221765022881938e-02
2.000000000000000000e+00,-1.985299826981754734e+01,1.378498758527803639e-02
2.000000000000000000e+00,-1.984812475922658948e+01,4.754492596577134661e-02
2.000000000000000000e+00,-1.984997035010239586e+01,3.938522696257860944e-02
2.000000000000000000e+00,-1.984181052825871561e+01,2.593443953271668337e-02
2.000000000000000000e+00,-1.985136741635231772e+01,2.700084955580152324e-02
2.000000000000000000e+00,-1.984181064863404131e+01,6.193164243732899449e-02
2.000000000000000000e+00,-1.985535508570401220e+01,4.820003912097475460e-03
2.000000000000000000e+00,-1.984977878170357712e+01,3.633872164829957119e-02
2.000000000000000000e+00,-1.985316229740715954e+01,1.682575754557783659e-02
2.000000000000000000e+00,-1.984801625281399851e+01,4.614867318118191786e-02
2.000000000000000000e+00,-1.984208929671823540e+01,7.113826461574938864e-02
2.000000000000000000e+00,-1.985271195085603324e+01,2.089716441370057659e-02
2.000000000000000000e+00,-1.984167041514774255e+01,7.079220537924303669e-02
2.000000000000000000e+00,-1.985315239413089472e+01,1.917922405478083778e-02
2.000000000000000000e+00,-1.927658525784569576e+01,2.052068970960613226e-04
2.000000000000000000e+00,-1.984934218770001380e+01,3.429784696849363240e-02
2.000000000000000000e+00,-1.983692732024231731e+01,6.984986960618985719e-02
2.000000000000000000e+00,-1.985494788329712179e+01,6.699202845462382851e-03
2.000000000000000000e+00,-1.985282066648042587e+01,1.031596280224977846e-02
2.000000000000000000e+00,-1.985575278643845465e+01,2.626459892712112824e-03
2.000000000000000000e+00,-1.985516442205593179e+01,2.772786412274999904e-03
2.000000000000000000e+00,-1.985059168436231403e+01,3.878136601373688430e-02
2.000000000000000000e+00,-1.985187436223502289e+01,2.230435576438565687e-02
2.000000000000000000e+00,-1.984763792054953768e+01,2.816271935741987767e-02
2.000000000000000000e+00,-1.985247879904497381e+01,2.387247585177116466e-02
2.000000000000000000e+00,-1.985199853118660585e+01,3.362565187238464315e-02
2.000000000000000000e+00,-1.984814602306015630e+01,3.995982863663818940e-02
2.000000000000000000e+00,-1.985096507781204167e+01,2.255377522541823082e-02
2.000000000000000000e+00,-1.985579124727205880e+01,1.239992262735812364e-03
