Instance,Energy,Energy Variance
1.000000000000000000e+00,-1.550231151671685836e+01,2.841246977796186863e-03
1.000000000000000000e+00,-1.704412188878217194e+01,7.123432023588753548e-02
1.000000000000000000e+00,-1.704844476363496852e+01,6.222267386450783949e-02
1.000000000000000000e+00,-1.705022783163510169e+01,2.802921245030604719e-02
1.000000000000000000e+00,-1.705628247889541882e+01,1.536860399431226598e-02
1.000000000000000000e+00,-1.702981338966676361e+01,7.225532455540509269e-02
1.000000000000000000e+00,-1.591459984151048879e+01,7.099849448256201345e-02
1.000000000000000000e+00,-1.703457606847219807e+01,7.983507805864901996e-02
1.000000000000000000e+00,-1.705889656630583673e+01,7.649620980144840494e-03
1.000000000000000000e+00,-1.705818710587030296e+01,3.813600268716540228e-03
1.000000000000000000e+00,-1.703871541279945490e+01,4.813979563726356048e-02
1.000000000000000000e+00,-1.705710268947347075e+01,1.444291068320617197e-02
1.000000000000000000e+00,-1.704245539604151105e+01,4.654558814652301479e-02
1.000000000000000000e+00,-1.705864701909497327e+01,1.313758008040627652e-02
1.000000000000000000e+00,-1.702726597919779294e+01,8.807891431632680623e-02
1.000000000000000000e+00,-1.703795056332554125e+01,6.703786637667824566e-02
1.000000000000000000e+00,-1.705278439326681905e+01,3.369252227246788411e-02
1.000000000000000000e+00,-1.705530890410182820e+01,2.212079409474749375e-02
1.000000000000000000e+00,-1.704775684158891380e+01,6.467105260853793502e-02
1.000000000000000000e+00,-1.702666961535021528e+01,7.871098920815854105e-02
1.000000000000000000e+00,-1.703159347813246427e+01,8.499233029550853913e-02
1.000000000000000000e+00,-1.705522675100745644e+01,1.861674633536738316e-02
1.000000000000000000e+00,-1.550353106010696891e+01,1.199751456347491899e-05
1.000000000000000000e+00,-1.585863768413149799e+01,3.968562075767527453e-02
1.000000000000000000e+00,-1.584694955427372420e+01,1.622021317260715278e-04
1.000000000000000000e+00,-1.705861209933852152e+01,1.198590436036649221e-02
1.000000000000000000e+00,-1.705293188106745816e+01,3.514835707933870734e-02
1.000000000000000000e+00,-1.706009565012588070e+01,2.603749679834302388e-03
1.000000000000000000e+00,-1.705649236909664523e+01,2.025620782090964411e-02
1.000000000000000000e+00,-1.705927808194775963e+01,4.461017447626036345e-03
1.000000000000000000e+00,-1.705653372389487288e+01,7.014367505138641504e-03
1.000000000000000000e+00,-1.705985398954531007e+01,3.203389478674640353e-03
1.000000000000000000e+00,-1.705958800904649308e+01,2.011538621515030628e-03
1.000000000000000000e+00,-1.705071809166233621e+01,6.344786700065835339e-02
1.000000000000000000e+00,-1.705815212902771094e+01,9.894937227592723664e-03
1.000000000000000000e+00,-1.705937466335338115e+01,2.984546029581017570e-03
1.000000000000000000e+00,-1.705942472581517677e+01,4.137309641936872187e-03
1.000000000000000000e+00,-1.705917413183854237e+01,6.514287141289517094e-03
1.000000000000000000e+00,-1.704995842279308960e+01,4.262154457805631541e-02
1.000000000000000000e+00,-1.705934273476203344e+01,4.743125522271669434e-03
1.000000000000000000e+00,-1.705678031511889614e+01,1.546831646534984825e-02
1.000000000000000000e+00,-1.704660558994811481e+01,6.549095908241162056e-02
1.000000000000000000e+00,-1.704395711675029901e+01,8.102420964487747068e-02
1.000000000000000000e+00,-1.705504721579817939e+01,2.380355783441927969e-02
1.000000000000000000e+00,-1.705313438181615027e+01,3.462915537349959411e-02
1.000000000000000000e+00,-1.535187204267722905e+01,3.958810638303063290e-02
1.000000000000000000e+00,-1.706001035841062929e+01,3.330417571178682923e-03
1.000000000000000000e+00,-1.705793110522350631e+01,6.082412102081574679e-03
1.000000000000000000e+00,-1.705929381614787488e+01,3.937251242034884441e-03
1.000000000000000000e+00,-1.705777639926084177e+01,1.045887908528078322e-02
1.000000000000000000e+00,-1.705911280643798378e+01,5.792834857458778637e-03
1.000000000000000000e+00,-1.705945798702408567e+01,1.779974827787513154e-03
1.000000000000000000e+00,-1.705611300940492825e+01,1.689208928994911929e-02
1.000000000000000000e+00,-1.705825748879094661e+01,1.219804350151001623e-02
1.000000000000000000e+00,-1.706005089777118400e+01,2.587077913811729971e-03
1.000000000000000000e+00,-1.705960213813548876e+01,2.154870057728774154e-03
