Instance,Energy,Energy Variance
1.000000000000000000e+00,-6.663051428066678739e+01,6.733509664562951080e-01
1.000000000000000000e+00,-7.141536761281898293e+01,5.059451481669490214e-01
1.000000000000000000e+00,-7.075358318473584518e+01,8.462242107212760711e-01
1.000000000000000000e+00,-7.162661848698823519e+01,4.631138544161678139e-02
1.000000000000000000e+00,-7.154148527353152076e+01,2.219037764007973368e-01
1.000000000000000000e+00,-6.960460386816211553e+01,4.403634645687363180e-01
1.000000000000000000e+00,-7.156237501498841880e+01,5.977653217280389786e-01
1.000000000000000000e+00,-7.089023626474288164e+01,9.997442283275899122e-01
1.000000000000000000e+00,-7.163563696684542492e+01,2.304913708561110580e-02
1.000000000000000000e+00,-7.140744210414649729e+01,5.553318335683921081e-01
1.000000000000000000e+00,-7.146612255902461186e+01,3.838728151629553498e-01
1.000000000000000000e+00,-7.134994107938150876e+01,4.389098387323933648e-02
1.000000000000000000e+00,-7.097674743397699615e+01,8.843035082484278497e-01
1.000000000000000000e+00,-7.014918890294090659e+01,4.427500944731509458e-01
1.000000000000000000e+00,-7.144277875154348578e+01,5.285316911063724366e-01
1.000000000000000000e+00,-7.163671123553774578e+01,1.883873481070907213e-02
1.000000000000000000e+00,-7.160971927113641300e+01,1.143528104260966016e-01
1.000000000000000000e+00,-7.138277949314041848e+01,6.331152479101422870e-01
1.000000000000000000e+00,-6.757612780158027022e+01,3.352020029637319265e-01
1.000000000000000000e+00,-7.016204335918695278e+01,3.813939455055982419e-01
1.000000000000000000e+00,-6.960402267485866901e+01,2.909791972973851948e-01
1.000000000000000000e+00,-7.073188443999293895e+01,4.584386100521412599e-01
1.000000000000000000e+00,-6.854211110658172856e+01,3.924777588723867838e-01
1.000000000000000000e+00,-6.942882535236910257e+01,5.051106336749789927e-01
1.000000000000000000e+00,-7.137284464789530603e+01,7.106051580727634764e-01
1.000000000000000000e+00,-7.162988295407708961e+01,2.109447038489570964e-02
1.000000000000000000e+00,-7.163422897300378622e+01,2.178438952930965983e-02
1.000000000000000000e+00,-7.147025433535247885e+01,3.649283146583172099e-01
1.000000000000000000e+00,-6.719893793178198393e+01,7.827466278674106714e-01
1.000000000000000000e+00,-6.243546977495751094e+01,3.976866259492551903e-01
1.000000000000000000e+00,-7.017474873148933057e+01,2.846845369452972729e-01
1.000000000000000000e+00,-7.142509245289863884e+01,4.840222496298419719e-01
1.000000000000000000e+00,-7.052499224704597225e+01,7.534609058936954096e-01
1.000000000000000000e+00,-7.162154584986564032e+01,5.146821073580017114e-02
1.000000000000000000e+00,-6.921778527192398656e+01,2.447410620932726627e-02
1.000000000000000000e+00,-7.135236793273763567e+01,2.587196099119126180e-01
1.000000000000000000e+00,-6.998612815576947810e+01,2.633250235137025719e-01
1.000000000000000000e+00,-7.156166507329922410e+01,1.683014470137029761e-01
1.000000000000000000e+00,-6.759785723197677498e+01,3.698302469724867175e-02
1.000000000000000000e+00,-7.126370669904241595e+01,1.960170356598790464e-01
1.000000000000000000e+00,-7.140744773662444800e+01,6.535279696234049807e-01
1.000000000000000000e+00,-7.123909051759983413e+01,9.402547025043190843e-01
1.000000000000000000e+00,-7.163545233248146360e+01,1.990541518312196473e-02
1.000000000000000000e+00,-7.118291483078054682e+01,3.211817117559127022e-01
1.000000000000000000e+00,-7.128599068634753166e+01,9.333876587702777394e-01
1.000000000000000000e+00,-7.163561340583791548e+01,2.157711963252197801e-02
1.000000000000000000e+00,-6.797422837829080322e+01,1.882430848461886380e-02
1.000000000000000000e+00,-6.242758590917097195e+01,5.063112234747320084e-01
1.000000000000000000e+00,-7.019860847788632441e+01,1.232203024596566915e-01
1.000000000000000000e+00,-7.116912170903296442e+01,4.745079655299813126e-01
1.000000000000000000e+00,-6.752902682545877155e+01,2.598665456868065604e-02
1.000000000000000000e+00,-6.998254823174909234e+01,3.445628823847974864e-01
1.000000000000000000e+00,-7.139224103377890174e+01,6.854472118439353112e-01
1.000000000000000000e+00,-6.876784523286120532e+01,2.708123430774442286e-02
1.000000000000000000e+00,-6.934962529386820052e+01,4.023643232525363489e-01
1.000000000000000000e+00,-7.124898911369240295e+01,9.911150096532438392e-01
1.000000000000000000e+00,-7.129586996202188232e+01,8.275877015057350183e-01
1.000000000000000000e+00,-7.125476358367629359e+01,8.885306696427623940e-01
1.000000000000000000e+00,-7.130712084166853515e+01,8.701806447605451300e-01
1.000000000000000000e+00,-6.698022903971420305e+01,5.510071621262054714e-02
1.000000000000000000e+00,-7.163653342155762971e+01,2.040754604414117893e-02
1.000000000000000000e+00,-7.161814743628559654e+01,8.250419996722810345e-02
