cRBM_SR_100,cRBM_NQA_100,RBQS_SR_100,RBQS_NQA_100,cRBM_SR_200,cRBM_NQA_200,RBQS_SR_200,RBQS_NQA_200
0.09793420843772675,1.0000018896957569e-10,0.0022400606997288234,1.0000018896957569e-10,0.1399481433841715,0.15178024545242497,0.015544220659883456,1.0000038250217068e-10
0.06796957247733047,1e-10,0.013437807273149301,1.000001977205906e-10,0.12273621818682558,0.1588124552148734,0.02823075167811303,0.01800504535116044
0.06770219692885834,1.0000018936710957e-10,1.0000018936710957e-10,1.0000018936710957e-10,0.12509839081766544,0.17795554234849942,0.013993303638876456,0.00046667241664783354
0.06961913852179703,1.000001886778528e-10,0.0019565698639833996,1.000001886778528e-10,0.1316166080508909,0.17567227071164196,0.006683904482449923,1e-10
0.09938272180729184,1e-10,1.0000017850673942e-10,1.0000017850673942e-10,0.15440577797414645,0.1680145427252556,0.003639708678843386,1.0000037763985496e-10
0.008621897334126742,1.0000019463277546e-10,0.0016475996839917426,1.0000019463277546e-10,0.13670125467028446,0.1796881166060584,0.028160169308523525,0.014984191221142086
0.07597400746779073,1e-10,0.027382847605949445,1e-10,0.1454416119308089,0.1730596021157815,0.016434842113698774,0.0023118989102410914
0.07032261646405065,1e-10,1e-10,1e-10,0.10556768527530962,0.1723678748744326,0.014958231580982211,1e-10
0.06939006446098306,1e-10,1.0000019751898989e-10,1.0000019751898989e-10,0.12623142082549058,0.12061179089794258,0.019664245252352594,0.002477828023911099
0.09173511282127711,1e-10,1e-10,1e-10,0.1780039804198908,0.18576392208776224,0.00736047920048923,1.0000019493177558e-10
