Instance,Energy,Energy Variance
6.000000000000000000e+00,-7.222698323784244678e+01,9.555161006252086420e-01
6.000000000000000000e+00,-7.386276974125784989e+01,5.628205225117792754e-01
6.000000000000000000e+00,-7.256982107603121790e+01,5.973235208646052175e-02
6.000000000000000000e+00,-7.516342247470169013e+01,1.297308412268209817e-02
6.000000000000000000e+00,-7.236520735467215104e+01,5.100954276170917012e-01
6.000000000000000000e+00,-7.258828251639417317e+01,2.423843542088246691e-02
6.000000000000000000e+00,-7.495422483793898039e+01,5.478481326486714931e-01
6.000000000000000000e+00,-7.252701903693923668e+01,2.253908762047608094e-01
6.000000000000000000e+00,-7.488092036794455453e+01,8.775996290764872532e-01
6.000000000000000000e+00,-7.224440257132924614e+01,8.393856772350265505e-01
6.000000000000000000e+00,-7.493810081061086237e+01,5.480517891706382372e-01
6.000000000000000000e+00,-7.250468558873387792e+01,1.987595539247857257e-01
6.000000000000000000e+00,-7.233039279656244958e+01,6.072889291327119299e-01
6.000000000000000000e+00,-7.257483872027309246e+01,2.476357613953933043e-02
6.000000000000000000e+00,-7.515085683207783518e+01,3.899834209619866543e-02
6.000000000000000000e+00,-7.393429836297966062e+01,3.685465154456480374e-01
6.000000000000000000e+00,-7.244426981710017799e+01,3.180398418363273860e-01
6.000000000000000000e+00,-7.232723371928601352e+01,7.915400434481952852e-01
6.000000000000000000e+00,-7.246578706890940680e+01,4.283925752184515878e-01
6.000000000000000000e+00,-7.511203978913167134e+01,1.275574159653319051e-01
6.000000000000000000e+00,-7.427177623248890370e+01,5.786884151510983676e-01
6.000000000000000000e+00,-7.161105650225852060e+01,3.109177967809053644e-01
6.000000000000000000e+00,-7.243234128936853722e+01,5.055931984884134422e-01
6.000000000000000000e+00,-7.029472423262620850e+01,4.368867952724783676e-02
6.000000000000000000e+00,-7.515647903987918710e+01,8.856469180042861322e-03
6.000000000000000000e+00,-7.255991330981356668e+01,7.796776008786421297e-02
6.000000000000000000e+00,-7.498391940476906825e+01,4.425456525231211691e-01
6.000000000000000000e+00,-7.240546726579131587e+01,4.386792809994422004e-01
6.000000000000000000e+00,-7.242113831158130210e+01,3.719485519369729598e-01
6.000000000000000000e+00,-7.515411003708345561e+01,2.836517910121656022e-02
6.000000000000000000e+00,-7.258048197564687598e+01,3.673527133802846623e-02
6.000000000000000000e+00,-7.266114164301055212e+01,3.914320833702816804e-02
6.000000000000000000e+00,-7.258439076253114308e+01,2.316038525762791761e-02
6.000000000000000000e+00,-7.516066231492351335e+01,8.581007101344913235e-03
6.000000000000000000e+00,-7.258921136546196351e+01,2.177840311451271008e-02
6.000000000000000000e+00,-7.264574187579221132e+01,1.397516992063387899e-02
6.000000000000000000e+00,-7.505564378251692403e+01,2.611994946253518579e-01
6.000000000000000000e+00,-7.516459902350037225e+01,8.132657030552657360e-03
6.000000000000000000e+00,-7.218465508135558650e+01,9.345356395537479655e-01
6.000000000000000000e+00,-7.516439153912136817e+01,7.889085718565272062e-03
6.000000000000000000e+00,-7.510456266923249302e+01,5.068036501375311476e-02
6.000000000000000000e+00,-7.513080601319447283e+01,9.913809813946534294e-03
6.000000000000000000e+00,-7.505652236755172169e+01,2.510783776441279924e-01
6.000000000000000000e+00,-7.508724987262621653e+01,1.703872726132751869e-01
6.000000000000000000e+00,-7.264443445466478977e+01,5.888670844957091255e-01
6.000000000000000000e+00,-7.494862484472741926e+01,5.334447625459783904e-01
6.000000000000000000e+00,-7.243579248049474018e+01,3.374572970895826085e-01
6.000000000000000000e+00,-7.235043299544024364e+01,7.481832754126971352e-01
6.000000000000000000e+00,-7.255714316225402172e+01,8.421974643751492517e-02
6.000000000000000000e+00,-7.258525579836347674e+01,3.074144800182922882e-02
6.000000000000000000e+00,-7.255879186744805054e+01,8.088580763647017224e-02
6.000000000000000000e+00,-7.240124483869948335e+01,4.187976955990988515e-01
6.000000000000000000e+00,-7.493646977594377745e+01,5.798691344193531716e-01
6.000000000000000000e+00,-7.242387712912967856e+01,3.790223438177838799e-01
6.000000000000000000e+00,-7.258772654258207524e+01,2.677451483734291995e-02
6.000000000000000000e+00,-7.258673637101733789e+01,2.651533476417837487e-02
6.000000000000000000e+00,-7.257382316246189191e+01,1.504835346145226294e-01
6.000000000000000000e+00,-7.491556675536793364e+01,6.377387127333156158e-01
6.000000000000000000e+00,-6.738039304053400258e+01,9.699885558063603419e-01
6.000000000000000000e+00,-7.512498778679491807e+01,2.267992744434474406e-02
6.000000000000000000e+00,-7.235547839144850002e+01,5.555015676075945041e-01
6.000000000000000000e+00,-7.502100828120461529e+01,3.483163808458000776e-01
6.000000000000000000e+00,-7.251071464450245685e+01,3.424774171009548618e-01
6.000000000000000000e+00,-7.495339011950525787e+01,5.351506005706818669e-01
6.000000000000000000e+00,-7.256050862869334139e+01,5.386542316729027169e-01
6.000000000000000000e+00,-7.503150171894262144e+01,3.793017481432880422e-01
6.000000000000000000e+00,-7.513323955549515176e+01,7.809797906461522776e-02
6.000000000000000000e+00,-7.234551655693800853e+01,5.648409000569440952e-01
6.000000000000000000e+00,-7.516373103080093188e+01,1.025973789813637398e-02
6.000000000000000000e+00,-7.493905856604595783e+01,5.800001870709640128e-01
6.000000000000000000e+00,-7.509623382808088365e+01,1.689319561915625101e-01
6.000000000000000000e+00,-7.489652759075264044e+01,7.140553949619955487e-01
6.000000000000000000e+00,-7.240823973872818442e+01,5.846969446739276322e-01
6.000000000000000000e+00,-7.508827160446031712e+01,1.421656681358249852e-01
6.000000000000000000e+00,-7.501839997985194941e+01,4.070753768073850920e-01
6.000000000000000000e+00,-6.746637831520213524e+01,1.886605411367229049e-02
6.000000000000000000e+00,-7.252008451189053062e+01,5.627041395749659003e-01
6.000000000000000000e+00,-7.257637481153042813e+01,1.948276084387986495e-01
6.000000000000000000e+00,-7.257969985843651273e+01,4.551474266783031575e-02
6.000000000000000000e+00,-7.242108352970305418e+01,3.786635725812188547e-01
6.000000000000000000e+00,-7.248857278224974721e+01,2.360353433950129198e-01
6.000000000000000000e+00,-7.499582560998192093e+01,4.364534102260559378e-01
6.000000000000000000e+00,-7.234676673483949116e+01,7.743214251500059042e-01
6.000000000000000000e+00,-7.494068920857830562e+01,5.504653568353841120e-01
6.000000000000000000e+00,-7.255353254493661552e+01,1.410503218199652964e-01
6.000000000000000000e+00,-7.266376208842419260e+01,1.396047962387270136e-01
6.000000000000000000e+00,-7.238903699168798767e+01,5.284625894826541215e-01
6.000000000000000000e+00,-7.258198151704725376e+01,2.941232736871922035e-02
6.000000000000000000e+00,-7.494251488416615814e+01,5.839141514280709044e-01
6.000000000000000000e+00,-7.488514872659106913e+01,6.909014481714984557e-01
