instance,band,scaling,mean_intercept,std_intercept,mean_slope,std_slope
0,0,variance,-16.857973828427905,0.0012682921001512725,5.3708228512567135,23.40980041239355
0,0,inverse_num_params,-16.859122974064494,0.001752483569917719,0.8469601025568747,1.4449656445197776
0,1,variance,-16.496377743860577,0.00038216809860341076,0.22902756795528403,0.15252120781043815
0,1,inverse_num_params,-16.495164640443253,0.0006425857382206919,-0.4429031108659362,0.36866987534949824
1,0,variance,-17.058412976593637,0.0004376645050122936,-0.045492863283587474,0.12104261488071687
1,0,inverse_num_params,-17.05768463123442,0.0006516445327656572,-0.37792479403402923,0.19417942191375567
2,0,variance,-19.857297969251064,0.0003130214789062517,0.24884716766305853,0.13716345001137017
2,0,inverse_num_params,-19.857815838116558,0.000683237361390895,0.7076734454991137,0.4672667866024341
3,0,variance,-18.455442379160033,0.00043846195868235015,0.1672946426989278,0.08260943560391086
3,0,inverse_num_params,-18.455062699859404,0.0005471897826406034,-0.004132343434541247,0.206480748025075
3,1,variance,-17.851672582372732,0.0011655426722018455,2.7423614110917094,15.28354035955486
3,1,inverse_num_params,-17.853068373326032,0.004080814782501884,0.2612784269646576,3.8811159536567272
3,2,variance,-17.361930189902463,0.001795415381208398,-0.21672532996533067,0.45596846176812544
3,2,inverse_num_params,-17.361078569870628,0.004491595050100571,-1.6732245793181268,4.669455483270544
4,0,variance,-17.35762222977008,0.0012912708336775816,1.6971169422228136,2.5173988839603467
4,0,inverse_num_params,-17.35708663126342,0.004506310591694346,1.0985444487238427,2.9589907854639805
4,1,variance,-17.25368411667579,0.0005336732557880482,0.25043397527442635,0.12668594141522624
4,1,inverse_num_params,-17.252078640746696,0.0010433955607944668,-0.6572678149018665,0.4476578166737263
5,0,variance,-23.216776876531515,0.00042524074661318893,0.428191182362906,0.09463349158536899
5,0,inverse_num_params,-23.21622322255756,0.0008947862478939566,0.18711811800778366,0.30022079709399696
6,0,variance,-18.750054931031126,0.0003440936405907072,0.4678471949478918,0.12725710911641677
6,0,inverse_num_params,-18.750498655195972,0.0005923627385100943,1.0491226036107586,0.3959939646487042
7,0,variance,-18.683127133675747,0.0005014190755630836,0.21808126514306103,0.15552935510217136
7,0,inverse_num_params,-18.683364381305985,0.0007090669883576329,0.4596266590869501,0.3024815521538634
8,0,variance,-16.865479341992888,0.00040932274545441174,0.13457827713048592,0.12278018999050623
8,0,inverse_num_params,-16.86522707267949,0.0006318274918623227,0.04175369599383363,0.2908106963859654
9,0,variance,-18.519616511812014,0.0003940786286666089,0.12287540608564987,0.10659653298912646
9,0,inverse_num_params,-18.519436312361112,0.000605357656756225,0.07028505971528576,0.23209712971427401
