-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01,-4.835443130896139863e-01
-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01,-4.434929179527184462e-01
-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01,-4.034415228158229061e-01
-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01,-3.633901276789273660e-01
-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01,-3.233387325420318259e-01
-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01,-2.832873374051362858e-01
-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01,-2.432359422682407457e-01
-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01,-2.031845471313452056e-01
-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01,-1.631331519944496655e-01
-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01,-1.230817568575541254e-01
-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02,-8.303036172065858533e-02
-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02,-4.297896658376304524e-02
-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03,-2.927571446867505145e-03
3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02,3.712382369002797944e-02
7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02,7.717521882692357504e-02
1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01,1.172266139638191706e-01
1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01,1.572780091007146552e-01
1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01,1.973294042376101398e-01
2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01,2.373807993745057354e-01
2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01,2.774321945114013310e-01
3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01,3.174835896482968156e-01
3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01,3.575349847851923002e-01
