4.262966709682073719e-05,-2.193374628439324122e-03,2.727377621904549573e-05,-9.535271184956854658e-06,1.678567371930827015e-05,2.483514587757414821e-03,-2.715131654321493310e-02,8.096161079450693576e-03,-4.765404852850168085e-03,2.519930985001126583e-02,-1.035803958852832621e-02,8.374496112758826518e-04,9.986908790860726803e-03,-6.714331942248333643e-03,-8.768019897691171666e-05,1.374450197094382198e-04,2.914911722189510275e-06,-3.072254834736053060e-06,9.132451849245442396e-05,-1.193489009063819083e-04,3.154911414460595878e-03,2.722828327170177115e-02,-8.081951610256406585e-03,1.327817222347865700e-02,6.267102777140436294e-03,5.842878778680025108e-03,3.091530106320842033e-02,-8.878065595099935564e-03
9.858908546462005523e-05,-7.962638919638480133e-04,3.120220787267439301e-05,3.624056270080528835e-06,-1.750086236157232721e-05,1.639595179641602143e-03,-1.577369070912842605e-02,4.559294615401775740e-03,-3.013374769980869082e-03,1.883771063594034609e-02,-5.811870755682898432e-03,3.978203380522744967e-04,5.706177084994481716e-03,-3.885001097769874134e-03,-1.117547456237784326e-04,1.205180530220251092e-03,3.199743338051795388e-05,1.082797792100873141e-05,1.523735403040084291e-04,-1.193862455194317530e-03,1.995838998780486914e-03,1.571179225604054167e-02,-6.995111766950243802e-03,1.020261289139926669e-02,3.574263161661666525e-03,3.267001434597306339e-03,1.751297142941182078e-02,-5.051622419817036573e-03
1.293669059234543435e-05,-8.784198363179422740e-04,4.151204153206128312e-05,1.438182958394219916e-05,6.655560033215214251e-05,2.136207548816109088e-03,-7.212716836557647032e-03,2.055323043899169849e-03,-1.807315598437038949e-03,1.395762764308046931e-02,-2.338500398489795282e-03,-1.585423529372996260e-06,2.460293380860546341e-03,-1.783405243983734317e-03,-1.948204078024099589e-04,1.397416574696760082e-03,6.248998481760908530e-05,2.499509567009140708e-05,2.601093288821371401e-04,-1.399133064771544786e-03,1.032888068093541258e-03,7.185940764686288285e-03,-5.616397393238722370e-03,7.991215347013870193e-03,1.523734512006887521e-03,1.320153177791164945e-03,7.347580300621527061e-03,-2.144396155182162495e-03
2.512505745669752237e-04,-1.365937732005026266e-03,3.186430484607744338e-05,2.836433856712926939e-05,-1.828812473729874094e-04,3.004546961676624918e-03,-2.483487270675941230e-03,-3.880891375887931052e-05,-5.312164031928948062e-04,1.045111299486563630e-02,-7.515346621052385739e-05,-3.546772551579688293e-04,3.743753665158156690e-04,-4.976376300152201074e-04,-5.073649315008479758e-05,9.362509191811238096e-04,7.362246135321060642e-05,3.655605284812205806e-05,1.240567730049158479e-04,-9.447462400777187699e-04,6.396532370125419809e-04,2.134064583370873930e-03,-4.513444200522492844e-03,5.771210767584873842e-03,2.022478188386524992e-04,8.057638603296076070e-05,8.108522531059710048e-04,-2.650478559389785743e-04
2.408661467430772782e-04,-1.478761023930952150e-03,1.451388890043077897e-05,3.980725635848214502e-05,-2.205385357508691732e-04,3.569652324024516835e-03,9.773001756080727451e-05,-1.218518530455484040e-03,1.907920618483389084e-04,8.697855670767104183e-03,1.158252823302891163e-03,-6.610678926781220601e-04,-7.015543426003693645e-04,8.545969644679028959e-05,-7.575670379117968361e-05,7.036174431017266657e-04,7.798885130378361023e-05,4.129417399640689031e-05,1.555797986896786391e-04,-7.196034760523956119e-04,6.396472930626702922e-04,-2.653307289575230696e-04,-3.638813354244446567e-03,4.661208477870374366e-03,-4.975586407437291745e-04,-5.566923500420290155e-04,-2.616331760914907857e-03,7.258051456760054865e-04
1.967607538524084824e-04,-1.668844497151080125e-03,5.146860864169593071e-06,3.330988169256623587e-05,-2.603704857471868879e-04,4.277325655635414239e-03,1.491734380849920162e-03,-2.041580719034148499e-03,7.739856726575467796e-04,7.262434531023990308e-03,1.651560985377726297e-03,-9.316836260031126186e-04,-1.069362530816462317e-03,1.549411586683725414e-04,-8.900653814241917070e-05,3.588468022305335353e-04,8.279916417105633844e-05,4.110936515356320483e-05,1.713471695879476865e-04,-3.812102158448032302e-04,5.160550468638720138e-04,-1.373736717883505213e-03,-2.532341208616892443e-03,3.651931551986690918e-03,-7.525116903859510771e-04,-7.633580577331591874e-04,-3.812014229070446493e-03,1.076089389359440865e-03
1.544842775946380113e-04,-1.601474783415803450e-03,2.781511487124601324e-06,2.455948291170192564e-05,-3.005102405577885676e-04,4.793573771786187668e-03,2.188736562490037341e-03,-2.448021768596438108e-03,1.070672522789185149e-03,6.544723961147996816e-03,1.687906789456447782e-03,-1.192541529425748554e-03,-9.962464684882845183e-04,-8.716983359926524979e-05,-9.498247607317355178e-05,1.853001865664603647e-04,8.524537011103912115e-05,4.122212187257790617e-05,1.798798342819518214e-04,-2.131748809695031062e-04,4.542589237644767777e-04,-1.545386994055263823e-03,-1.596552417511905037e-03,3.147293089044852013e-03,-7.315363931422405206e-04,-7.165931842364805246e-04,-3.659298534032903033e-03,1.039621206287557470e-03
1.104883766415298981e-04,-1.638798698654765022e-03,1.227205857867614752e-05,1.052747617148648709e-05,-3.434377807873141824e-04,5.434646107649636175e-03,2.537237653305657314e-03,-2.887374257326433442e-03,1.436841033800900346e-03,5.731911626311448141e-03,1.521282342095126852e-03,-1.430537911307612660e-03,-7.089845018553157276e-04,-4.737449690950642426e-04,-9.802371378079333456e-05,-2.108871315360057088e-05,8.835127203649454904e-05,4.124749799405294330e-05,1.840928978867049947e-04,-1.279927195237839281e-05,4.233608622147723563e-04,-1.441340763381420732e-03,-7.028131197321529520e-04,2.659000324106407416e-03,-5.781702715930121068e-04,-5.510838477110445444e-04,-2.865007593754159265e-03,8.176889643528237328e-04
-5.158874936102864094e-05,-1.950029644538637565e-03,1.322079107165569839e-05,5.901197538854412826e-06,-2.460415881634227080e-04,6.360299918128474971e-03,2.452549060443504417e-03,-2.802257045251630840e-03,1.285971253199000514e-03,4.427818828073424966e-03,1.309458683671019209e-03,-1.652633206104765773e-03,-3.509175119421467301e-04,-8.842066862831496777e-04,-1.249368273248873339e-04,-2.594985658891345304e-04,9.164118809321056150e-05,4.079985277229617168e-05,2.138530260745205407e-04,2.205814270134560831e-04,3.548657403642093908e-04,-1.071035065602731059e-03,-1.530230946575702631e-04,2.146445644304397458e-03,-3.863032634372580692e-04,-3.590657089938210011e-04,-1.905744549714297100e-03,5.464586076206561470e-04
-1.268849229265203780e-04,-2.146135141656286931e-03,1.617623298872679412e-06,-4.064210960816565103e-06,-1.916011024157023403e-04,7.261331296084503478e-03,2.410204764007989678e-03,-2.557337824368283510e-03,9.342024808513975159e-04,3.297077932055141221e-03,1.125563008458883765e-03,-1.883720811111966407e-03,-2.213665778151682924e-05,-1.261911008043232856e-03,-1.375452987052568576e-04,-4.768221562526345388e-04,9.253576296531651620e-05,4.102038785734388838e-05,2.295811755600984916e-04,4.332265589092427148e-04,3.206181794389316485e-04,-6.682284989887941722e-04,1.454521891957153714e-04,1.696094857994802580e-03,-2.159120610688348464e-04,-1.936446488913424102e-04,-1.051216052646388116e-03,3.044632274517775072e-04
