instance,exact_energy
0,-75.20181311460237
1,-71.87341830032535
2,-75.04394373228551
3,-75.31808585501405
4,-79.60962573360997
5,-73.01367758789947
6,-74.69668933726089
7,-72.85470668007179
8,-71.94677698248434
9,-73.3052934065986
