instance,band,scaling,sample_type,sample_index,min_energy,max_energy,slope,intercept
0,0,variance,global,,-16.86229162557492,-16.84700147613425,-0.4456085483267847,-16.85748211491431
0,0,variance,subsample,0.0,-16.86229162557492,-16.84700147613425,-0.9685178151679383,-16.856563030331802
0,0,variance,subsample,1.0,-16.862156009574402,-16.84700147613425,-0.25787083404823685,-16.857543150093598
0,0,variance,subsample,2.0,-16.86229162557492,-16.84700147613425,-0.702869571395169,-16.85635337202428
0,0,variance,subsample,3.0,-16.86229162557492,-16.84700147613425,-0.7679225560056157,-16.855958776673447
0,0,variance,subsample,4.0,-16.862156009574402,-16.855288614416985,17.185852105817588,-16.85971472486518
0,0,variance,subsample,5.0,-16.86229162557492,-16.85500955956761,-0.3568283834368032,-16.8579718623828
0,0,variance,subsample,6.0,-16.861276428774797,-16.85502022568587,27.783207341062713,-16.859130726047407
0,0,variance,subsample,7.0,-16.861276428774797,-16.85500955956761,1.161633070925893,-16.85842073333039
0,0,variance,subsample,8.0,-16.86229162557492,-16.84700147613425,-0.8814879192581702,-16.85704657614006
0,0,variance,subsample,9.0,-16.862156009574402,-16.85502022568587,14.652604446842526,-16.85906994879516
0,0,variance,subsample,10.0,-16.862156009574402,-16.84700147613425,0.7236272898617622,-16.857074454264303
0,0,variance,subsample,11.0,-16.86229162557492,-16.84700147613425,-1.055149606618338,-16.85609681742173
0,0,variance,subsample,12.0,-16.86229162557492,-16.855288614416985,-0.549516432309374,-16.858720483113785
0,0,variance,subsample,13.0,-16.86229162557492,-16.84700147613425,-0.8668910295146472,-16.85711557123191
0,0,variance,subsample,14.0,-16.861276428774797,-16.85500955956761,1.3385143315190606,-16.858957686014165
0,0,variance,subsample,15.0,-16.86229162557492,-16.84700147613425,-0.8914915681178148,-16.85701340458442
0,0,variance,subsample,16.0,-16.86229162557492,-16.857923065887235,-0.37906269219634187,-16.859753311770127
0,0,variance,subsample,17.0,-16.86229162557492,-16.84700147613425,-1.178235004762124,-16.855332606611718
0,0,variance,subsample,18.0,-16.86229162557492,-16.85502022568587,-0.6710213876507075,-16.85810547895934
0,0,variance,subsample,19.0,-16.86229162557492,-16.84700147613425,-0.9736724034002319,-16.856529586908835
0,0,variance,subsample,20.0,-16.86229162557492,-16.855288614416985,-0.5807346026143595,-16.858580703703712
0,0,variance,subsample,21.0,-16.862156009574402,-16.85500955956761,1.5915553159988673,-16.859814263076203
0,0,variance,subsample,22.0,-16.86229162557492,-16.85500955956761,-0.17855223115916036,-16.85886766069022
0,0,variance,subsample,23.0,-16.862156009574402,-16.85500955956761,1.3704055032823494,-16.85899033961503
0,0,variance,subsample,24.0,-16.86075235542591,-16.85500955956761,1.1275589641321726,-16.858544544248634
0,0,variance,subsample,25.0,-16.862156009574402,-16.85500955956761,1.3162855922628685,-16.859056525670255
0,0,variance,subsample,26.0,-16.862156009574402,-16.84700147613425,0.33061569721961614,-16.85727616662752
0,0,variance,subsample,27.0,-16.86229162557492,-16.85502022568587,-0.7011503606418716,-16.857950103757762
0,0,variance,subsample,28.0,-16.86229162557492,-16.85500955956761,-0.5369224580451252,-16.85708895239999
0,0,variance,subsample,29.0,-16.86229162557492,-16.84700147613425,-0.98349564440902,-16.85640660018701
0,0,variance,subsample,30.0,-16.862156009574402,-16.85500955956761,1.0933562950385227,-16.858473132512284
0,0,variance,subsample,31.0,-16.86229162557492,-16.85500955956761,-0.11201963419806422,-16.859217980961912
0,0,variance,subsample,32.0,-16.86229162557492,-16.85500955956761,-0.504856641238678,-16.85724599335819
0,0,variance,subsample,33.0,-16.86229162557492,-16.84700147613425,-0.9741441868980807,-16.856507228179648
0,0,variance,subsample,34.0,-16.86229162557492,-16.84700147613425,-0.5698459476601019,-16.856945544479977
0,0,variance,subsample,35.0,-16.862156009574402,-16.85502022568587,2.6191136374444897,-16.859006367299944
0,0,variance,subsample,36.0,-16.86229162557492,-16.857923065887235,-0.4444572739942124,-16.859423719522248
0,0,variance,subsample,37.0,-16.86075235542591,-16.85500955956761,1.2381910277097519,-16.858674692360896
0,0,variance,subsample,38.0,-16.86229162557492,-16.855288614416985,-0.6176030592813906,-16.85837865546512
0,0,variance,subsample,39.0,-16.86229162557492,-16.84700147613425,-1.027785021567324,-16.85628469301708
0,0,variance,subsample,40.0,-16.86229162557492,-16.84700147613425,-0.8690241927340828,-16.857127991056508
0,0,variance,subsample,41.0,-16.86229162557492,-16.85502022568587,-0.7224971744782029,-16.8579604446082
