cRBM_SR_cata_200,cRBM_NQA_cata_200,RBQS_SR_cata_200,RBQS_NQA_cata_200
0.11308654756999002,0.33539579356464183,0.016558613729790374,1.0000038250217068e-10
0.10580057022659256,0.32799526018213676,0.017499872487743814,1.0000019050102167e-10
0.10779556793955278,0.37528851092636034,0.01953030188552518,0.00046667241664783354
0.07154955798370959,0.3343222750063003,0.018912101373888317,1.0000019067737352e-10
0.08555204709876345,0.28595716822767225,0.007344917101910697,0.0009046920346985819
0.1165746144851808,0.33025936906299136,0.02985825281069548,1.0000019436930108e-10
0.07176498684721093,0.2814147917603978,0.005667216957329453,0.0023118989102412836
0.08911636475485862,0.3272703786398505,0.014354134903170588,1e-10
0.09528052408604239,0.31967819672987324,0.03432437628099037,1e-10
0.12626691858736364,0.30001774848047474,0.02951459588194424,1.0000019493177558e-10
